,_id,_type,attr
1096,4502.0,Female,Straight Hair Blonde
1097,4503.0,Male,Shadow Beard
1098,4503.0,Male,Crazy Hair
1099,4504.0,Female,Black Lipstick
1100,4504.0,Female,Mohawk
1101,4504.0,Female,Green Eye Shadow
1102,4505.0,Male,Earring
1103,4505.0,Male,Rosy Cheeks
1104,4505.0,Male,Headband
1105,4506.0,Male,Beanie
1106,4506.0,Male,Front Beard
1107,4506.0,Male,Earring
1108,4507.0,Male,Normal Beard Black
1109,4507.0,Male,Cap Forward
1110,4508.0,Male,Cigarette
1111,4508.0,Male,Bandana
1112,4508.0,Male,Normal Beard Black
1113,4508.0,Male,Big Shades
1114,4509.0,Male,Normal Beard Black
1115,4509.0,Male,Cap
1116,4510.0,Male,Normal Beard Black
1117,4510.0,Male,Earring
1118,4510.0,Male,Eye Patch
1119,4510.0,Male,Mohawk Dark
1120,4511.0,Male,Mustache
1121,4511.0,Male,Do-rag
1122,4512.0,Female,Bandana
1123,4512.0,Female,Clown Eyes Green
1124,4512.0,Female,Hot Lipstick
1125,4513.0,Zombie,Beanie
1126,4513.0,Zombie,Luxurious Beard
1127,4513.0,Zombie,Earring
1128,4514.0,Female,Cap
1129,4514.0,Female,Hot Lipstick
1130,4515.0,Female,Clown Hair Green
1131,4515.0,Female,Clown Eyes Blue
1132,4516.0,Female,Knitted Cap
1133,4516.0,Female,Purple Eye Shadow
1134,4517.0,Female,Wild White Hair
1135,4517.0,Female,Purple Eye Shadow
1136,4518.0,Female,Clown Eyes Green
1137,4518.0,Female,Hot Lipstick
1138,4518.0,Female,Wild Hair
1139,4519.0,Male,Bandana
1140,4519.0,Male,Horned Rim Glasses
1141,4519.0,Male,Goat
1142,4520.0,Male,Stringy Hair
1143,4520.0,Male,Spots
1144,4521.0,Male,Shadow Beard
1145,4521.0,Male,Knitted Cap
1146,4521.0,Male,Regular Shades
1147,4522.0,Male,Nerd Glasses
1148,4522.0,Male,Top Hat
1149,4523.0,Male,Messy Hair
1150,4523.0,Male,Earring
1151,4523.0,Male,Regular Shades
1152,4524.0,Male,Classic Shades
1153,4524.0,Male,Mohawk Dark
1154,4525.0,Female,Pipe
1155,4525.0,Female,Black Lipstick
1156,4525.0,Female,Half Shaved
1157,4525.0,Female,Earring
1158,4526.0,Male,Clown Nose
1159,4526.0,Male,Hoodie
1160,4526.0,Male,Normal Beard
1161,4527.0,Male,Bandana
1162,4527.0,Male,VR
1163,4528.0,Male,Front Beard
